Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,72.824,72.824,screen dark,33.246559192
0,30.427,30.427,wifi running,0.13087322093999998
30.427,33.818,3.3909999999999982,wifi scan,0.6908891219999996
33.818,42.771,8.953000000000003,wifi running,0.03850882266000001
42.771,43.09,0.3190000000000026,wifi scan,0.06499369800000053
43.09,72.824,29.733999999999995,wifi running,0.12789247547999996
0,72.824,72.824,audio,2.9674614816
0,2.823,2.823,audio,0.11503273320000001
0,72.824,72.824,phone_scanning,22.7505380256
0.0,72.61163999999917,72.61163999999917,core 0 cpu_idle start,1.9040478381539783
72.61163999999917,103.36499999999796,30.753359999998793,core 0 cpu_idle,0.8064253695959684
0.0,72.57013999999981,72.57013999999981,core 1 cpu_idle start,1.9029596106289952
72.57013999999981,103.36499999999796,30.794859999998152,core 1 cpu_idle,0.8075135971209516
