Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,73.034,73.034,screen dark,36.638674644
0,8.29,8.29,wifi running,0.03918218759999999
8.29,11.293,3.003,wifi scan,0.672323652
11.293,22.004,10.711000000000002,wifi running,0.05062489884
22.004,22.284,0.2799999999999976,wifi scan,0.06268751999999946
22.284,73.034,50.75000000000001,wifi running,0.23986683
0,73.034,73.034,audio,3.2702288112
0,1.748,1.748,audio,0.0782698464
8.29,73.034,64.744,audio,2.8990291392
8.29,11.293,3.003,audio,0.1344647304
23.73,73.034,49.304,audio,2.2076753472
23.73,26.74,3.009999999999998,audio,0.1347781679999999
9.939,73.034,63.095000000000006,video,10.359038052000002
9.939,23.73,13.791,video,2.2642284456
0,73.034,73.034,phone_scanning,25.071754219200002
0.0,63.57615600000281,63.57615600000281,core 0 cpu_idle start,1.831927862293281
63.57615600000281,93.12299999999959,29.54684399999678,core 0 cpu_idle,0.8513834458067073
0.0,63.592139000000316,63.592139000000316,core 1 cpu_idle start,1.8323884076433092
63.592139000000316,93.12299999999959,29.530860999999277,core 1 cpu_idle,0.8509229004566792
