Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,76.838,76.838,screen dark,38.19371098399999
0,76.838,76.838,wifi running,0.35984157455999993
0,76.838,76.838,audio,3.4090254431999996
0,2.8,2.8,audio,0.12422591999999999
47.599,76.838,29.238999999999997,audio,1.2972291695999998
47.599,58.491,10.892000000000003,audio,0.48323882880000013
0,76.838,76.838,phone_scanning,26.135861731199995
0.0,72.90329800000109,72.90329800000109,core 0 cpu_idle start,2.081432899878831
72.90329800000109,86.5537830000012,13.650485000000117,core 0 cpu_idle,0.3897295370410033
86.5537830000012,86.55959000000075,0.005806999999549589,core 0 cpu_frequency,0.04221527681212564
86.55959000000075,106.52800000000025,19.968409999999494,core 0 cpu_idle,0.5701100865459855
0.0,72.66298800000004,72.66298800000004,core 1 cpu_idle start,2.074571905192801
72.66298800000004,86.55379300000095,13.89080500000091,core 1 cpu_idle,0.39659081723302597
86.55379300000095,86.55695200000082,0.0031589999998686835,core 1 cpu_frequency,0.022965052428845365
86.55695200000082,106.52800000000025,19.971047999999428,core 1 cpu_idle,0.5701854030287836
