Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,78.161,78.161,screen dark,38.283883087999996
0,63.196,63.196,wifi running,0.29163184512
63.196,63.407,0.21099999999999852,wifi scan,0.046122911999999676
63.407,78.161,14.754000000000005,wifi running,0.06808557888000003
0,78.161,78.161,audio,3.4170738624000006
0,2.872,2.872,audio,0.1255592448
0,78.161,78.161,phone_scanning,26.1975662784
0.0,78.40139500000805,78.40139500000805,core 0 cpu_idle start,2.2057134863722268
78.40139500000805,108.36000000000058,29.95860499999253,core 0 cpu_idle,0.8428434096277899
0.0,78.4071210000111,78.4071210000111,core 1 cpu_idle start,2.2058745793659127
78.4071210000111,108.36000000000058,29.95287899998948,core 1 cpu_idle,0.8426823166341041
