Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,76.831,76.831,screen dark,37.632438448
0,74.777,74.777,wifi running,0.34507491744
74.777,75.006,0.2289999999999992,wifi scan,0.05005756799999983
75.006,76.831,1.8250000000000028,wifi running,0.008421864000000013
0,76.831,76.831,audio,3.3589283904000005
0,2.8129999999999997,2.8129999999999997,audio,0.1229798592
0,76.831,76.831,phone_scanning,25.7517843264
0.0,78.66963699999906,78.66963699999906,core 0 cpu_idle start,2.2132600995031737
78.66963699999906,106.45200000000477,27.782363000005716,core 0 cpu_idle,0.7816178876969608
0.0,78.67566799999622,78.67566799999622,core 1 cpu_idle start,2.2134297732446937
78.67566799999622,106.45200000000477,27.77633200000855,core 1 cpu_idle,0.7814482139554406
