Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,67.958,67.958,screen dark,33.763301307999996
0,43.686,43.686,wifi running,0.20448717623999998
43.686,46.934,3.2479999999999976,wifi scan,0.7201595519999995
46.934,67.958,21.024,wifi running,0.09840998016
0,67.958,67.958,audio,3.0135839184
0,2.84,2.84,audio,0.125939232
0,67.958,67.958,phone_scanning,23.104143374399996
0.0,67.37990099999297,67.37990099999297,core 0 cpu_idle start,1.9228000208664995
67.37990099999297,80.14454999999725,12.764649000004283,core 0 cpu_idle,0.36426095911842227
80.14454999999725,80.16619999999239,0.02164999999513384,core 0 cpu_frequency,0.17438245844380496
80.16619999999239,97.58000000000175,17.41380000000936,core 0 cpu_idle,0.4969323864602671
0.0,67.25574199999392,67.25574199999392,core 1 cpu_idle start,1.9192569327312266
67.25574199999392,97.58000000000175,30.32425800000783,core 1 cpu_idle,0.8653542532688235
