Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,72.984,72.984,screen dark,36.701901983999996
0,4.585,4.585,wifi running,0.021722996399999996
4.585,7.594,3.0090000000000003,wifi scan,0.675291816
7.594,39.442,31.848,wifi running,0.15089072831999997
39.442,39.458,0.015999999999998238,wifi scan,0.003590783999999604
39.458,72.984,33.525999999999996,wifi running,0.15884082383999995
0,72.984,72.984,audio,3.2758722432
0,2.834,2.834,audio,0.1272035232
4.585,72.984,68.399,audio,3.0700754352
4.585,7.594,3.0090000000000003,audio,0.13505836320000003
20.843,72.984,52.14099999999999,audio,2.3403383568
20.843,23.852,3.0090000000000003,audio,0.13505836320000003
5.862,72.984,67.122,video,11.046777667199999
5.862,20.843,14.981,video,2.4655370255999998
0,72.984,72.984,phone_scanning,25.115020531199995
0.0,72.72664999999688,72.72664999999688,core 0 cpu_idle start,2.1006511039299096
72.72664999999688,103.67599999999948,30.949350000002596,core 0 cpu_idle,0.8939472152700749
0.0,72.71557499999835,72.71557499999835,core 1 cpu_idle start,2.1003312114149524
72.71557499999835,103.67599999999948,30.960425000001123,core 1 cpu_idle,0.8942671077850324
