Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,71.396,71.396,screen dark,33.700411316
0,71.396,71.396,wifi running,0.31750800743999996
0,71.396,71.396,audio,3.0079705968000003
0,2.099,2.099,audio,0.08843254920000002
0,71.396,71.396,phone_scanning,23.0611079088
0.0,61.7729930000005,61.7729930000005,core 0 cpu_idle start,1.6747862975663634
61.7729930000005,63.352349000000686,1.579356000000189,core 0 cpu_idle,0.042819420904205124
63.352349000000686,63.35255700000016,0.00020799999947485048,core 0 cpu_frequency,0.0011009670561003253
63.35255700000016,91.15700000000106,27.8044430000009,core 0 cpu_idle,0.7538326683938744
0.0,61.77276399999937,61.77276399999937,core 1 cpu_idle start,1.6747800889297828
61.77276399999937,91.15700000000106,29.384236000001692,core 1 cpu_idle,0.7966639372202459
