Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,68.608,68.608,screen dark,32.384416768
0,55.564,55.564,wifi running,0.24710088696
55.564,55.798,0.23400000000000176,wifi scan,0.049293036000000366
55.798,68.608,12.810000000000002,wifi running,0.056967863400000006
0,68.608,68.608,audio,2.8905099264000005
0,2.824,2.824,audio,0.1189773792
0,68.608,68.608,phone_scanning,22.1605761024
0.0,73.24288299999898,73.24288299999898,core 0 cpu_idle start,1.9857573817518224
73.24288299999898,98.52100000000064,25.278117000001657,core 0 cpu_idle,0.6853390441981949
0.0,73.24298599999929,73.24298599999929,core 1 cpu_idle start,1.9857601742826807
73.24298599999929,98.52100000000064,25.27801400000135,core 1 cpu_idle,0.6853362516673366
