Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,80.237,80.237,screen dark,39.912371146999995
0,12.028,12.028,wifi running,0.056369703119999996
12.028,12.238,0.20999999999999908,wifi scan,0.0466187399999998
12.238,80.237,67.999,wifi running,0.31868003345999996
0,80.237,80.237,audio,3.5624265156
0,2.416,2.416,audio,0.1072675008
0,80.237,80.237,phone_scanning,27.311936619599997
0.0,63.17258700000093,63.17258700000093,core 0 cpu_idle start,1.8049324108411766
63.17258700000093,63.54632799999672,0.373740999995789,core 0 cpu_idle,0.010678322294329686
63.54632799999672,63.62927099999797,0.08294300000125077,core 0 cpu_frequency,0.6034129086835494
63.62927099999797,65.35852699999668,1.7292559999987134,core 0 cpu_idle,0.049407351341163246
65.35852699999668,65.37547500000073,0.01694800000404939,core 0 cpu_frequency,0.12329722795965944
65.37547500000073,66.22285900000134,0.8473840000006021,core 0 cpu_idle,0.024210989586817205
66.22285900000134,66.23811299999943,0.015253999998094514,core 0 cpu_frequency,0.11097332514823753
66.23811299999943,70.54581899999903,4.307705999999598,core 0 cpu_idle,0.12307740659368853
70.54581899999903,70.54621500000212,0.00039600000309292227,core 0 cpu_frequency,0.002880912357901106
70.54621500000212,70.98056099999667,0.43434599999454804,core 0 cpu_idle,0.01240989502154423
70.98056099999667,70.98270899999625,0.002147999999579042,core 0 cpu_frequency,0.015626766907137518
70.98270899999625,71.27984699999797,0.2971380000017234,core 0 cpu_idle,0.00848966351014924
71.27984699999797,71.27991499999916,6.800000119255856e-05,core 0 cpu_frequency,0.00042245294500882155
71.27991499999916,72.09614300000248,0.8162280000033206,core 0 cpu_idle,0.023320817490694878
72.09614300000248,72.10471400000097,0.008570999998482876,core 0 cpu_frequency,0.06912018983403527
72.10471400000097,81.88514800000121,9.780434000000241,core 0 cpu_idle,0.2794411810093069
81.88514800000121,81.89851500000077,0.013366999999561813,core 0 cpu_frequency,0.05322130680012534
81.89851500000077,99.14800000000105,17.249485000000277,core 0 cpu_idle,0.49284279820325794
0.0,63.08511600000202,63.08511600000202,core 1 cpu_idle start,1.8024332375382577
63.08511600000202,63.54633399999875,0.46121799999673385,core 1 cpu_idle,0.013177667026006682
63.54633399999875,63.57288800000242,0.026554000003670808,core 1 cpu_frequency,0.19318117718380526
63.57288800000242,63.58727299999737,0.014384999994945247,core 1 cpu_idle,0.0004110003081055784
63.58727299999737,63.5891449999981,0.0018720000007306226,core 1 cpu_frequency,0.013618858318115303
63.5891449999981,65.35853599999973,1.769391000001633,core 1 cpu_idle,0.05055406648699666
65.35853599999973,65.37334600000031,0.014810000000579748,core 1 cpu_frequency,0.1077432113357177
65.37334600000031,66.22286599999643,0.8495199999961187,core 1 cpu_idle,0.024272018203889106
66.22286599999643,66.22664100000111,0.003775000004679896,core 1 cpu_frequency,0.02746324262529639
66.22664100000111,70.54582300000038,4.319181999999273,core 1 cpu_idle,0.12340529255387923
70.54582300000038,70.54897499999788,0.0031519999974989332,core 1 cpu_frequency,0.022930898166604662
70.54897499999788,70.98056599999836,0.43159100000048056,core 1 cpu_idle,0.01233118067696373
70.98056599999836,70.98254099999758,0.0019749999992200173,core 1 cpu_frequency,0.014368186515575603
70.98254099999758,99.14800000000105,28.165459000003466,core 1 cpu_idle,0.8047280035456491
