Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,67.216,67.216,screen dark,34.289301376
0,2.798,2.798,wifi running,0.01344785952
2.798,3.577,0.7789999999999999,wifi scan,0.17735025599999998
3.577,67.216,63.638999999999996,wifi running,0.30586430736
0,67.216,67.216,audio,3.0605326848
0,2.798,2.798,audio,0.12740077440000003
0,67.216,67.216,phone_scanning,23.4640839168
0.0,69.16824600000473,69.16824600000473,core 0 cpu_idle start,2.026712609695339
69.16824600000473,96.49400000000242,27.325753999997687,core 0 cpu_idle,0.8006773831047324
0.0,69.16825000000244,69.16825000000244,core 1 cpu_idle start,2.026712726900072
69.16825000000244,96.49400000000242,27.32574999999997,core 1 cpu_idle,0.8006772658999992
